OrigFdCd; OrigFdNm; EngFdNam; SciNam; EDIBLE; NCF; FACF; ENERC [kJ]; ENERC [kcal]; FAT [g]; FASAT [g]; FAMS [g]; FAPU [g]; FATRN [g]; CHOT [g]; CHO [g]; SUGAR [g]; FIBT [g]; PROT [g]; ASH [g]; NA [mg]; NACL [g]; WATER [g]
946; Dınì, Hokkaidó; Vegetace marrow, Hokkaido, raw; Cucurbita maxima Duchesne ssp.; 0.71; 6.25; 0.800;154;37; 0.6;0;0;0;0; 7.7; 5.7; 5.2; 2.0; 1.1; 0.7;1;0; 89.9
947; Dınì, máslová; Butternut, pumpkin, raw; Cucurbita moschata Butternut; 0.80; 6.25; 0.800;161;38; 0.2;0;0;0;0; 8.4; 6.3; 4.8; 2.1; 1.8; 0.7;0;0; 88.9
985; Dem jahodovı, modelová receptura; Jam, strawberry, model recipe; ; 1.00; 6.25; 0.800;781;185; 1.9; 0.56; 0.13; 0.74;0; 40.3; 38.6; 39.0; 1.7; 0.7; 0.4;156; 0.39; 56.7
90; Fazole bílé, sušené; Beans, white, dried; Phaseolus vulgaris L.; 1.00; 6.25; 0.800;1411;334; 0.8; ; ; ; ; 69.7; 50.5; ; 19.2; 21.7; 4.1;4;0; 3.7
496; Fazole bílé, vaøené v nesolené vodì; Beans, white, boiled in unsalted water; ; 1.00; 6.25; 0.000;539;128; 0.4; ; ; ; ; 25.8; 18.5; ; 7.3; 8.9; 1.4; ; ; 63.5
649; Fazole èerné; Beans, black, dried; Phaseolus; 1.00; 6.25; 0.956;1129;270; 1.4; 0.22; 0.13; 1.00;0; 61.3; 26.7; 2.6; 34.6; 20.4; 3.8;0;0; 13.2
654; Fazole èervené; Beans, kidney, red, dried; Phaseolus; 1.00; 6.25; 0.956;1151;276; 1.7; 0.25; 0.19; 1.15;0; 65.0; 28.0; 1.3; 37.0; 18.6; 3.5;0;0; 11.1
918; Fazole, pinto; Beans, pinto; Phaseolus; 1.00; 6.25; 0.800;1112;267; 1.6; 0.83; 0.34; 0.05;0; 63.7; 22.8; 2.7; 40.9; 19.9; 3.9;0;0; 10.9
54; Fazolky; Beans, green, raw; Phaseolus vulgaris L.; 0.91; 6.25; 0.800;134;32; 0.2; ; ; ; ; 7.1; 3.4; ; 3.7; 2.3; 0.7;5;0; 89.7
983; Fenykl, bulva; Fenel, tuber; Foeniculum vulgare; 0.85; 6.25; 0.800;67;16; 0.2;0;0;0;0; 4.2; 2.2; 2.1; 2.0; 0.7; 0.7;17; 0.04; 94.2
362; Fíky; Figs, raw; Ficus carica L.; 1.00; 6.25; 0.800;323;77; 0.3; 0.06; 0.07; 0.14; ; 19.1; 16.2; 9.6; 2.9; 0.8; 0.7;1;1; 79.1
363; Fíky, sušené; Figs, dried; Ficus carica L.; 1.00; 6.25; 0.000;1090;257; 0.9; 0.15; 0.16; 0.25; ; 63.8; 54.0; 47.8; 9.8; 3.3; 1.9;10;0; 30.1
624; Goji, plody kustovnice èínské, sušené; Goji, dried; Lycium chinense; 1.00; 6.25; 0.800;1454;344; 3.3; 0.33; 0.57; 1.66;0; 71.9; 61.2; 35.3; 10.7; 12.1; 4.2;500; 1.25; 8.4
361; Grapefruit; Grapefruit, raw; Citrus paradisi Macfad.; 0.67; 6.25; 0.800;170;40; 0.2; 0.05; 0.03; 0.07; ; 9.8; 8.2; 6.4; 1.6; 0.6; 0.4;2; ; 89.0
450; Guma arabská; Gum Arabic (acacia gum); ; 1.00; 6.25; 0.800;1450;348;0;0;0;0;0; 84.1; 84.1;0; ; 1.4; 3.3;15; 0.04; 11.1
563; Guma guar; Guar gum; ; 1.00; 6.25; 0.000;783;194;0;0;0;0;0; 87.2;0;0; 87.2; 5.0; 0.9;127; 0.32; 8.6
674; Guma tara; Tara; Caesalpinia spinosa; 1.00; 6.25; 0.956;772;192; 0.8;0;0;0;0; 88.1;0;0; 88.0; 2.3; 0.9;2;0; 8.0
675; Guma xanthanová; Xanthan gum; ; 1.00; 6.25; 0.956;737;182; 0.6;0;0;0;0; 78.3; 2.8;0; 75.5; 3.6; 9.3;654; 1.64; 8.1
351; Hamburger (firma McDONALD´S); Hamburger, McDONALD'S; ; 1.00; 6.25; 0.000;1050;248; 7.4; 2.40; 0.30; 3.97; ; 32.4; ; ; ; 13.0; 2.4;520; 1.3; 44.8
468; Hlíva ústøièná; Mushrooms, oyster, raw; Pleurotus ostreatus; 1.00; 6.25; 0.800;85;20; 0.1; 0.08;0;0;0; 5.4; 1.1; 0.8; 4.3; 1.6; 0.8;2;0; 92.1
971; Hloh, plody; Hawthron, fruits; Crataegus L.; 1.00; 6.25; 0.800;352;86; 1.0; 0.17; 0.27; 0.09;0; 31.7; 4.1; 3.3; 27.6; 1.4; 1.5;1;0; 64.4
451; Hmota kakaová; Cocoa mass; ; 1.00; 6.25; 0.950;2540;617; 54.4; 33.16; 17.10; 1.43;0; 26.9; 9.0; 0.5; 17.9; 13.8; 3.1;6; 0.01; 1.66
801; Hoki, maso s kùí; Blue grenadier, meat with skin, raw; Macruronus; 1.00; 6.25; 0.700;323;76; 1.1; 0.34; 0.47; 0.11;0;0;0;0;0; 16.6; 1.4;110; 0.27; 80.9
895; Holoubì, celé, maso bez kùe; Pigeon (young), meat whit skin, raw; Columba; 0.41; 6.25; 0.945;806;194; 13.1; 3.37; 7.39; 1.51;0;0;0;0;0; 18.9; 1.7;85; 0.21; 65.8
896; Holoubì, celé, maso s kùí; Pigeon (young), meat whitout skin, raw; Columba; 0.48; 6.25; 0.945;897;216; 16.1; 4.19; 8.39; 2.40;0;0;0;0;0; 17.7; 1.3;78; 0.20; 63.0
265; Hoøèice kremská; Mustard, with horseradish Krems-type; ; 1.00; 6.25; 0.920;545;130; 6.6; ; ; ; ; 14.1; 12.4; ; 1.7; 4.5; 3.1;760; 1.9; 71.7
264; Hoøèice plnotuèná; Mustard, full fat; ; 1.00; 6.25; 0.920;545;130; 6.6; ; ; ; ; 14.1; 12.4; ; 1.7; 4.5; 3.1;760; 1.9; 71.7
802; Houby, lišky; Chanterelles, raw; Cantharellus cibarius; 1.00; 6.25; 0.800;113;27; 0.4;0;0;0;0; 5.3; 2.0;0; 3.3; 2.2; 1.1;1;0; 91.0
91; Hrách; Peas, dried; Pisum sativum L.; 1.00; 6.25; 0.800;1429;338; 1.8; ; ; ; ; 67.3; 54.7; ; 12.6; 19.5; 3.5;19;0; 7.9
497; Hrách, vaøenı v nesolené vodì; Peas, boiled in unsalted water; ; 1.00; 6.25; 0.000;484;114; 0.4; ; ; ; ; 23.3; 19.1; ; 4.2; 6.5; 1.1; ; ; 68.7
13; Hranolky bramborové, smaené, trh; French fries, retail; ; 1.00; 6.25; 0.956;1310;314; 15.5; 3.96; 9.14; 1.58; ; 39.2; ; ; ; 4.3; 1.5;116; 0.3; 39.6
55; Hrášek; Peas, green, raw; Pisum sativum L.; 0.47; 6.25; 0.800;325;77; 0.4; ; ; ; ; 15.3; 8.6; ; 6.7; 6.5; 0.9;8;0; 76.9
950; Hrášek, lyofilizovanı; Green peas, lyophilized; Pisum sativum; 1.00; 6.25; 0.800;1429;340; 3.4; 0.73; 0.43; 1.50;0; 65.2; 41.3; 23.3; 23.9; 24.2; 2.8;9; 0.02; 4.4
36; Hrušky; Pears, raw; Pyrus communis  L. emend Gaertn.; 0.92; 6.25; 0.800;238;57; 0.3; 0.05; 0.03; 0.15; ; 14.6; 11.3; 10.3; 3.3; 0.5; 0.3;3;0; 84.3
927; Hrušky, loupané, prùmìr; Pears, peeled, raw; Pyrus; 0.83; 6.25; 0.800;194;46; 0.2;0;0;0;0; 11.4; 9.9; 8.8; 1.5; 0.4; 0.5;0;0; 87.5
244; Høib smrkovı; Boletus edible, raw; Boletus edulis; 0.82; 6.25; 0.770;170;41; 0.6; ; ; ; ; 5.2; 2.2; ; 3.0; 5.1; 1.1;17;0; 88.0
245; Høib smrkovı, sušenı; Boletus edible, dried; Boletus edulis; 1.00; 6.25; 0.770;1360;321; 3.1; ; ; ; ; 39.2; 31.7; ; 7.5; 37.7; 7.4;14;0; 12.6
352; Cheeseburger (firma McDONALD´S); Cheeseburger, McDONALD'S; ; 1.00; 6.25; 0.000;1090;259; 9.0; 3.27; 0.32; 4.39; ; 26.0; ; ; ; 18.4; 2.9;631; 1.6; 43.7
355; Chicken Mc Nuggets (firma McDONALD´S); Chicken McNuggets, McDONALD'S; ; 1.00; 6.25; 0.000;1120;269; 14.6; 3.56; 8.09; 1.74; ; 14.1; ; ; ; 20.2; 2.3;521; 1.3; 48.8
195; Chléb pšenièno-itnı, Šumava; Bread, wheat-rye, Šumava; ; 1.00; 6.25; 0.000;1050;247; 1.7; ; ; ; ; 54.5; 49.4; ; 5.1; 6.0; 1.4;515; 1.3; 36.4
198; Chléb pšeniènı bílı; Bread, wheat, white; ; 1.00; 6.25; 0.000;1030;242; 1.6; ; ; ; ; 50.8; 46.5; ; 4.3; 8.3; 1.5;510; 1.3; 37.8
199; Chléb pšeniènı celozrnnı; Bread, wheat, wholemeal; ; 1.00; 6.25; 0.000;968;229; 2.0; ; ; ; ; 48.0; 39.8; ; 8.2; 8.9; 1.9;456; 1.1; 39.2
200; Chléb pšeniènı celozrnnı, Graham; Bread, wheat, Graham; ; 1.00; 6.25; 0.000;1040;247; 2.7; ; ; ; ; 49.8; 43.4; ; 6.4; 9.1; 1.9;301; 0.8; 36.5
469; Chøest bílı; Asparagus, white, raw; Asparagus officinalis; 0.75; 6.25; 0.800;80;19; 0.1; 0.08;0;0;0; 3.7; 2.2; 2.2; 1.5; 1.5; 0.5;11; 0.03; 94.2
676; Inulin; Inulin; ; 1.00; 6.25; 0.956;1091;264; 0.6;0;0;0;0; 92.9; 35.9;0; 57.0; 0.2; 0.1;20; 0.05; 6.2
